                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7963,                 5.3097,                 1.3469,                      0,                      0,                      0,                      0,                 3.4312,                 5.2069,                 1.0234,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 3.5638,                 4.9422,                0.98635,                      0,                      0,                      0,                      0,                 3.0881,                 4.9667,                0.89735,             0.00020248,             0.00020248,             0.00020248
                      3,                 3.1103,                 4.6366,                0.91353,                0.01012,                0.02755,                0.00951,                 0.0022,                 2.9821,                 4.4762,                0.87458,             0.00030398,             0.00030398,             0.00030398
                      4,                  2.996,                 4.3955,                0.87498,                0.04203,                0.09543,                0.03242,                0.01174,                 2.7353,                  3.972,                0.86074,              0.0003517,              0.0003517,              0.0003517
                      5,                 2.8603,                 4.1452,                0.86283,                 0.0299,                 0.1767,                0.02895,                0.00886,                 2.7879,                 3.7405,                0.86086,             0.00034993,             0.00034993,             0.00034993
                      6,                 2.7857,                  3.914,                0.84762,                0.05244,                0.29054,                0.06955,                0.02444,                 2.5459,                 3.3108,                0.84284,             0.00034816,             0.00034816,             0.00034816
                      7,                 2.7067,                 3.6744,                0.83195,                 0.0608,                0.34318,                0.09695,                0.03791,                 2.3502,                 3.1071,                0.83319,              0.0003464,              0.0003464,              0.0003464
                      8,                 2.6288,                 3.4644,                0.82901,                0.06645,                0.36306,                0.11017,                 0.0405,                  2.447,                 2.9252,                0.83369,             0.00034463,             0.00034463,             0.00034463
                      9,                 2.5471,                 3.2451,                 0.8333,                0.07133,                0.40466,                 0.1375,                0.05632,                 2.2542,                 2.7837,                0.82432,             0.00034286,             0.00034286,             0.00034286
                     10,                 2.5154,                  3.022,                0.81927,                0.11196,                0.31831,                0.14434,                0.05951,                 2.2578,                 2.5708,                 0.8214,              0.0003411,              0.0003411,              0.0003411
                     11,                 2.4947,                 2.8588,                0.80567,                0.45511,                0.16824,                0.17062,                0.07178,                 2.1948,                  2.303,                0.81965,             0.00033933,             0.00033933,             0.00033933
                     12,                 2.4383,                 2.6602,                0.80878,                0.49467,                0.17796,                0.19477,                0.08286,                 2.1389,                 2.2177,                0.81938,             0.00033756,             0.00033756,             0.00033756
