                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7998,                 5.3013,                 1.3338,                      0,                      0,                      0,                      0,                 3.5827,                 5.1361,                 1.0014,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 3.6418,                 4.9941,                 1.0065,                      0,                      0,                      0,                      0,                 3.1181,                 5.0137,                0.91491,             0.00020248,             0.00020248,             0.00020248
                      3,                  3.224,                 4.6834,                0.92716,                0.01435,                0.02134,                0.01156,                0.00276,                 2.9609,                 4.5556,                0.88122,             0.00030398,             0.00030398,             0.00030398
                      4,                 3.0835,                 4.4068,                0.88536,                0.02201,                0.12909,                 0.0296,                0.00895,                 2.9309,                 3.9772,                 0.8659,              0.0003517,              0.0003517,              0.0003517
                      5,                 2.9575,                 4.1493,                0.86716,                0.03108,                0.20875,                0.04525,                0.01301,                 2.8066,                 3.8066,                0.85184,             0.00034993,             0.00034993,             0.00034993
                      6,                 2.8668,                 3.9245,                0.84721,                0.03059,                0.22734,                0.04205,                0.01423,                 2.5919,                 3.4339,                0.84227,             0.00034816,             0.00034816,             0.00034816
                      7,                 2.7936,                 3.7294,                0.83368,                0.03774,                0.27541,                0.06205,                0.02182,                 2.4235,                 3.2046,                 0.8342,              0.0003464,              0.0003464,              0.0003464
                      8,                 2.7033,                 3.5344,                0.82883,                0.05312,                0.33696,                0.09704,                0.03728,                 2.3761,                 3.0596,                0.82864,             0.00034463,             0.00034463,             0.00034463
                      9,                 2.6488,                 3.3351,                0.83353,                0.05785,                0.36688,                0.11005,                0.04309,                 2.2496,                 2.9597,                0.82637,             0.00034286,             0.00034286,             0.00034286
                     10,                  2.587,                 3.1441,                0.81966,                0.05731,                0.38545,                0.12544,                0.05224,                  2.189,                 2.8228,                0.82154,              0.0003411,              0.0003411,              0.0003411
                     11,                 2.5577,                 2.9869,                0.80618,                0.23371,                0.27214,                0.14211,                0.05922,                 2.1615,                 2.5046,                0.82489,             0.00033933,             0.00033933,             0.00033933
                     12,                 2.5233,                 2.7782,                0.80647,                  0.077,                0.40924,                0.16804,                0.06685,                 2.1302,                 2.4819,                0.81672,             0.00033756,             0.00033756,             0.00033756
