epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3374,4.79705,5.29196,1.3479,0,0,0,0,3.45519,5.20877,1.01896,9.996e-05,9.996e-05,9.996e-05
2,19.3641,3.56555,5.09236,0.98574,0,0,0,0,3.09612,5.12582,0.90494,0.000199461,0.000199461,0.000199461
3,28.2387,3.1145,4.98054,0.91488,0,0,0,0,2.96523,5.06883,0.87489,0.000294862,0.000294862,0.000294862
4,37.0605,2.98798,4.85376,0.87698,0.00278,0.00048,0.00141,0.00042,2.81245,4.85579,0.85273,0.000335794,0.000335794,0.000335794
5,45.8941,2.83716,4.68618,0.86239,0.0128,0.01736,0.00836,0.00277,2.66668,4.5157,0.84879,0.000328726,0.000328726,0.000328726
6,54.7144,2.73722,4.47042,0.84608,0.02454,0.10918,0.02312,0.00917,2.42015,4.1071,0.83407,0.000321657,0.000321657,0.000321657
7,63.5386,2.68483,4.2152,0.83375,0.03084,0.21644,0.03439,0.01436,2.37514,3.68676,0.83333,0.000314588,0.000314588,0.000314588
8,72.4325,2.61078,3.97579,0.83096,0.02935,0.24383,0.03636,0.01433,2.3475,3.47518,0.83204,0.00030752,0.00030752,0.00030752
9,81.3545,2.5614,3.74532,0.83604,0.03078,0.25613,0.04399,0.01889,2.27126,3.28251,0.82736,0.000300451,0.000300451,0.000300451
10,90.1673,2.52293,3.49026,0.82278,0.21263,0.12986,0.05728,0.02286,2.37717,3.00925,0.82305,0.000293383,0.000293383,0.000293383
11,99.0219,2.50318,3.30461,0.81035,0.04133,0.31894,0.07075,0.03052,2.25327,2.81906,0.823,0.000286314,0.000286314,0.000286314
12,107.977,2.46007,3.10538,0.8125,0.04964,0.36398,0.08515,0.03796,2.11663,2.67564,0.81864,0.000279245,0.000279245,0.000279245
13,116.885,2.39664,2.94185,0.80754,0.05386,0.38313,0.09548,0.04368,2.11335,2.58308,0.82107,0.000272177,0.000272177,0.000272177
14,125.821,2.39004,2.81942,0.8066,0.05741,0.40905,0.10009,0.04254,2.12167,2.52624,0.81926,0.000265108,0.000265108,0.000265108
15,134.755,2.34457,2.70385,0.80301,0.05832,0.41005,0.10922,0.04715,2.11584,2.46358,0.81828,0.00025804,0.00025804,0.00025804
16,143.808,2.34711,2.60701,0.80386,0.06158,0.42343,0.11023,0.04397,2.18294,2.40768,0.81985,0.000250971,0.000250971,0.000250971
17,152.746,2.34318,2.54268,0.80124,0.08994,0.38711,0.12673,0.05291,2.10854,2.17715,0.81651,0.000243902,0.000243902,0.000243902
18,161.715,2.31272,2.471,0.79641,0.07673,0.46036,0.13604,0.06087,2.00028,2.20967,0.81608,0.000236834,0.000236834,0.000236834
19,170.719,2.32145,2.4363,0.79716,0.09605,0.408,0.13929,0.05636,2.12307,2.15127,0.81734,0.000229765,0.000229765,0.000229765
20,179.775,2.25369,2.3517,0.79069,0.14919,0.30434,0.1533,0.06386,2.02565,2.04131,0.81551,0.000222697,0.000222697,0.000222697
